cod;denumire;um;tva;den_tip;STOC;PRET ACHIZITIE;PRET VANZ CU TVA;cod_bare
838262 001 XL;SHORT JERSEY ESS;buc;19;Marfuri;1;52;137;4056205921912
838262 001 L;SHORT JERSEY ESS;buc;19;Marfuri;2;52;137;4056205921837
838262 001 XXL;SHORT JERSEY ESS;buc;19;Marfuri;1;52;137;4056205921554
838262 001 S;SHORT JERSEY ESS;buc;19;Marfuri;2;52;137;4056205921493
AI2963 XS;TF LONG TGT OK;buc;19;Marfuri;3;0;0;4055343898131
AI2963 XL;TF LONG TGT OK;buc;19;Marfuri;1;0;0;4055343898094
AI2963 L;TF LONG TGT OK;buc;19;Marfuri;2;0;0;4055343898056
AI2963 M;TF LONG TGT OK;buc;19;Marfuri;3;0;0;4055343898032
AI2963 S;TF LONG TGT OK;buc;19;Marfuri;3;0;0;4055343897998
AJ2172 XL;BUSTIERA   OK;buc;19;Marfuri;2;0;0;4055343824802
AJ2172 L;BUSTIERA OK;buc;19;Marfuri;3;0;0;4055343824772
AJ2172 S;BUSTIERA OK;buc;19;Marfuri;2;0;0;4055343820675
AJ2172 XS;TF BRA - SOLID;buc;19;Marfuri;1;58;151;4055343820637
AJ2172 M;BUSTIERA   OK;buc;19;Marfuri;3;0;0;4055343820590
AJ2189 S;TF B MACROHTH;buc;19;Marfuri;2;58;151;4055343551531
AJ2189 XS;TF B MACROHTH;buc;19;Marfuri;1;58;151;4055343551494
AJ2189 XL;TF B MACROHTH;buc;19;Marfuri;1;58;151;4055343551470
AJ2189 M;TF B MACROHTH;buc;19;Marfuri;3;58;151;4055343551401
AJ2189 L;TF B MACROHTH;buc;19;Marfuri;2;58;151;4055343551357
73395 001 OSFA;FUNDAMENTALS SPORTS BAG M;buc;19;Marfuri;10;0;0;4055262370428
73472 001 OSFA; PIONEER PORTABLE;buc;19;Marfuri;10;26;68;4055262368364
73472 002 OSFA; PIONEER PORTABLE;buc;19;Marfuri;10;26;68;4055262368357
73583 002 OSFA; BUZZ PORTABLE;buc;19;Marfuri;10;34;88;4055262367770
73583 001 OSFA; BUZZ PORTABLE;buc;19;Marfuri;10;34;88;4055262367763
73499 001 TU;FUNDAMENTALS SPORTS BAG S;buc;19;Marfuri;10;50;132;4055262367473
AA2306 4346;PER M INV T 3PP;buc;19;Marfuri;10;16;42;4055017115557
AA2306 3538;PER M INV T 3PP;buc;19;Marfuri;14;16;42;4055017115526
AA2306 3942;PER M INV T 3PP;buc;19;Marfuri;21;16;42;4055017115502
AA2307 4346;PER M INV T 3PP;buc;19;Marfuri;20;16;42;4055017070986
AA2307 3942;PER M INV T 3PP;buc;19;Marfuri;30;16;42;4055017070955
AA2307 3538;PER M INV T 3PP;buc;19;Marfuri;31;16;42;4055017070931
AA2331 3538;PER CREW T 3PP;buc;19;Marfuri;30;24;63;4055017063698
AA2331 3942;PER CREW T 3PP;buc;19;Marfuri;30;24;63;4055017063643
AA2331 4346;PER CREW T 3PP;buc;19;Marfuri;20;24;63;4055017063629
AA2329 4346;PER CREW T 3PP;buc;19;Marfuri;20;24;63;4055017062608
AA2329 3538;PER CREW T 3PP;buc;19;Marfuri;30;24;63;4055017062561
AA2329 3942;PER CREW T 3PP;buc;19;Marfuri;30;24;63;4055017062554
S12241 4;TANGO GLIDER;buc;19;Marfuri;3;38;100;4055014282658
S12241 5;TANGO GLIDER;buc;19;Marfuri;8;38;100;4055014282641
S20274 4346;TREFOIL LINER;buc;19;Marfuri;20;25;65;4055012814950
S20274 3538;TREFOIL LINER;buc;19;Marfuri;20;25;65;4055012814929
S20274 3942;TREFOIL LINER;buc;19;Marfuri;30;25;65;4055012814912
